<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2024.01.01	00:00:00	1.10000	1.10012	1.09836	1.09911	992
2024.01.01	01:00:00	1.09911	1.09929	1.09907	1.09916	4729
2024.01.01	02:00:00	1.09916	1.09935	1.09860	1.09892	3541
2024.01.01	03:00:00	1.09892	1.09925	1.09880	1.09887	2026
2024.01.01	04:00:00	1.09887	1.09934	1.09760	1.09828	2176
2024.01.01	05:00:00	1.09828	1.09897	1.09812	1.09883	3620
2024.01.01	06:00:00	1.09883	1.09941	1.09815	1.09931	899
2024.01.01	07:00:00	1.09931	1.09959	1.09925	1.09932	3723
2024.01.01	08:00:00	1.09932	1.10072	1.09883	1.10003	2984
2024.01.01	09:00:00	1.10003	1.10037	1.09969	1.10030	1495
2024.01.01	10:00:00	1.10030	1.10035	1.09924	1.09970	4537
2024.01.01	11:00:00	1.09970	1.10052	1.09947	1.09991	3330
2024.01.01	12:00:00	1.09991	1.10030	1.09879	1.09925	1236
2024.01.01	13:00:00	1.09925	1.09992	1.09862	1.09979	3449
2024.01.01	14:00:00	1.09979	1.09980	1.09942	1.09973	2350
2024.01.01	15:00:00	1.09973	1.09981	1.09897	1.09957	3938
2024.01.01	16:00:00	1.09957	1.09972	1.09850	1.09909	2714
2024.01.01	17:00:00	1.09909	1.10041	1.09879	1.09986	4999
2024.01.01	18:00:00	1.09986	1.10048	1.09953	1.09973	4672
2024.01.01	19:00:00	1.09973	1.10008	1.09904	1.09941	681
2024.01.01	20:00:00	1.09941	1.09980	1.09890	1.09915	2349
2024.01.01	21:00:00	1.09915	1.09972	1.09877	1.09947	1410
2024.01.01	22:00:00	1.09947	1.09993	1.09910	1.09967	2526
2024.01.01	23:00:00	1.09967	1.09998	1.09959	1.09991	1152
2024.01.02	00:00:00	1.09991	1.10024	1.09986	1.10016	2910
2024.01.02	01:00:00	1.10016	1.10204	1.09995	1.10155	1194
2024.01.02	02:00:00	1.10155	1.10173	1.10112	1.10124	3304
2024.01.02	03:00:00	1.10124	1.10148	1.10066	1.10087	2544
2024.01.02	04:00:00	1.10087	1.10111	1.10022	1.10030	4968
2024.01.02	05:00:00	1.10030	1.10097	1.09997	1.10068	4453
2024.01.02	06:00:00	1.10068	1.10145	1.10003	1.10139	3200
2024.01.02	07:00:00	1.10139	1.10227	1.10123	1.10128	2519
2024.01.02	08:00:00	1.10128	1.10129	1.10014	1.10069	3721
2024.01.02	09:00:00	1.10069	1.10097	1.10001	1.10012	3508
2024.01.02	10:00:00	1.10012	1.10058	1.09946	1.10051	1127
